Price,Open,High,Low,Close,Volume
Ticker,SBAC,SBAC,SBAC,SBAC,SBAC
Date,,,,,
2010-02-04,30.527119416425347,30.53635803712657,29.326355940869554,29.39101219177246,2081500
2010-02-05,29.335584032870194,29.427950833020798,28.30107904233376,29.36329460144043,2307500
2010-02-08,29.418720540396432,30.102232195207847,28.836810802843768,29.723529815673828,1272800
2010-02-09,29.95444068073746,30.62871535786084,29.714285932254846,30.45322036743164,1924800
2010-02-10,30.28695275348766,30.711837478985597,29.871303120500713,30.70260238647461,1427500
2010-02-11,30.48092973002979,31.34917312660679,30.296196117874945,31.22909927368164,1721500
2010-02-12,30.961239521859437,31.432306943491245,30.619484587597103,31.358415603637695,1793700
2010-02-16,31.349173762464037,31.75558842214814,31.210626193163172,31.70940589904785,1147200
2010-02-17,31.67245847116736,31.903374610169454,31.54314599708629,31.70940589904785,1138700
2010-02-18,31.78329450339124,31.847950734882417,31.52466957742653,31.820241928100586,1981300
2010-02-19,31.755582141141264,32.30977935573013,31.690925916889228,32.12504577636719,1170200
2010-02-22,32.09734057531251,32.09734057531251,31.524669586160417,31.607799530029297,1840700
2010-02-23,31.690932294230972,31.783297340749595,31.30299134715129,31.75558853149414,1796700
2010-02-24,31.709404184380094,32.226654052734375,31.607800524953227,32.226654052734375,1749200
2010-02-25,31.78329912454773,32.88245874321123,31.700169168615137,32.73467254638672,2427200
2010-02-26,32.873220462789995,32.873220462789995,31.00741770644543,32.6607780456543,2250400
2010-03-01,32.965589205659086,33.28887393858681,32.69772914220584,32.82704162597656,1255800
2010-03-02,32.78086919692456,33.187280488748335,32.57766178926167,32.716209411621094,1701300
2010-03-03,32.79008358520321,33.20573323675786,32.71618874781582,32.92863464355469,846800
2010-03-04,33.03948333957766,33.23345206096343,32.78085837772996,32.98406219482422,2482900
2010-03-05,33.02100638481195,33.2334488002718,32.84551139556264,32.9932975769043,2223400
2010-03-08,32.59612123360617,33.20573966608802,32.540700094834925,32.65153884887695,1618000
2010-03-09,32.51299094881652,33.667571568280884,32.51299094881652,33.49207305908203,1537500
2010-03-10,33.621390803979565,34.10169326607873,33.482839713008254,33.87077713012695,1059100
2010-03-11,33.8061289729525,33.9077326608127,33.58445140262247,33.70452880859375,867000
2010-03-12,33.722989182974906,33.93543511763672,33.46436425173502,33.49207305908203,1166300
2010-03-15,33.45512901896634,33.584441484052284,32.5868821416743,32.891693115234375,2188400
2010-03-16,32.90092969886262,33.71375547497646,32.81779974990211,33.6029167175293,1413900
2010-03-17,33.704518642104844,33.71375373662402,33.42741647752406,33.56596755981445,742700
2010-03-18,33.43665214445596,33.676803339263344,32.99329365315766,33.15955352783203,1220800
2010-03-19,33.2519228420976,33.28887026867339,32.540700736266004,32.5776481628418,1021600
2010-03-22,32.38369317480102,33.279645745994486,32.19895948717796,33.05796813964844,980300
2010-03-23,32.9655862816287,33.71375583015538,32.89169495038566,33.529022216796875,1558300
2010-03-24,33.31657728789158,33.45512836836091,32.79932391410647,32.96558380126953,1028400
2010-03-25,33.159561773502865,33.36276559702368,31.931086118872653,32.152767181396484,2673900
2010-03-26,32.36521433067662,32.54070936821372,31.93109076200412,32.17124557495117,1906900
2010-03-29,32.503760587158965,33.57521153324701,32.503760587158965,32.91017532348633,1831200
2010-03-30,33.057960390907326,33.73223519770565,33.02101295734274,33.482845306396484,1360100
2010-03-31,33.51978906489889,33.7691789288653,33.27039920093247,33.31658172607422,976200
2010-04-01,33.492072810632905,34.12940356288969,33.492072810632905,33.82459259033203,1308600
2010-04-05,33.87077457843512,34.203294352915044,33.843065771728575,34.14787673950195,1217300
2010-04-06,33.82459259033203,34.147877275484134,33.59367646815213,33.82459259033203,893100
2010-04-07,33.90772429388429,33.963145434542035,32.87322099944383,33.09490203857422,1287800
2010-04-08,32.84550108298035,33.29809457970581,32.84550108298035,33.187255859375,1330600
2010-04-09,33.335055012473475,33.796887304958005,33.2242162488574,33.47360610961914,1262300
2010-04-12,33.6675754757234,33.87077929235257,32.965588404456554,33.4089469909668,2550800
2010-04-13,33.261165757778244,33.261165757778244,32.43910470242639,32.836280822753906,2011800
2010-04-14,32.90092659173064,32.96558282109379,32.245125680475674,32.68848419189453,1712000
2010-04-15,32.45757502539323,32.512996172491874,32.11582009370411,32.42062759399414,1768400
2010-04-16,32.19895381388889,32.45757881689157,31.820251406562953,32.16200637817383,1045900
2010-04-19,31.93108762801331,32.05116502270141,30.970475517510756,31.635515213012695,2294800
2010-04-20,31.847956146450688,32.605360864187844,31.644748799520883,32.49452209472656,1953800
2010-04-21,32.559173807758675,32.75314250820734,32.38367882023376,32.65153884887695,1809500
2010-04-22,32.51300569908655,33.19651576273921,32.09735578281018,33.05796813964844,1521300
2010-04-23,32.93787406983845,33.344285158437884,32.79932299325897,33.03023910522461,1910000
2010-04-26,33.076430696825774,33.24269060722038,32.60535977620743,33.06719207763672,1363100
2010-04-27,33.03024304315771,33.168794136255535,32.337494624669915,32.5222282409668,1671800
2010-04-28,32.679264755497044,32.86399843797536,31.903386107889645,32.097354888916016,1371100
2010-04-29,32.56841141954441,32.91016984979612,32.43909894258463,32.79009246826172,1178800
2010-04-30,32.90091686368829,33.344275244016295,32.61458322502808,32.64229202270508,935300
