Price,Open,High,Low,Close,Volume
Ticker,FTV,FTV,FTV,FTV,FTV
Date,,,,,
2016-07-05,29.94493891004761,32.93943243436548,29.33573447000235,29.46000099182129,9880426
2016-07-06,28.532559181464112,29.46000393657653,28.059743884722252,28.94475746154785,10634933
2016-07-07,28.865956216918825,29.096301626444266,28.69925849509178,28.938695907592773,8700775
2016-07-08,29.072045800972063,30.678403687774974,28.81139195898766,30.429872512817383,6729194
2016-07-11,29.829762813039835,31.05423288752012,29.690342971227075,30.9875545501709,9581668
2016-07-12,30.914823031444342,30.95119471429865,30.466256666112518,30.6541690826416,8805594
2016-07-13,30.654162623335615,30.975433531285503,30.20559451908906,30.684471130371094,7714271
2016-07-14,30.508677131326472,31.36338020968099,30.278331776884915,31.260330200195312,5520999
2016-07-15,31.38763855089209,31.466439581484853,30.678414608078267,31.054243087768555,5851156
2016-07-18,30.775400832957484,31.266401984575964,30.617795117600625,31.090608596801758,2469829
2016-07-19,30.9390664004878,31.25427414922315,30.575362472311777,31.248212814331055,3099695
2016-07-20,31.42400074989028,31.47249509315413,30.31470502341279,30.514741897583008,5315009
2016-07-21,30.551113215815842,30.684471749523603,30.30258381979701,30.454126358032227,4804709
2016-07-22,30.3086444841701,30.48443419132116,29.878262218355047,29.9449405670166,3886076
2016-07-25,29.83582695333821,29.97524680826602,29.011432325706274,29.690345764160156,4828337
2016-07-26,29.4357602294255,29.957068100819516,29.266031829422584,29.87220573425293,2491871
2016-07-27,29.750965204008796,30.005557764227703,29.529711818324284,29.65397834777832,2582577
2016-07-28,29.544870169093386,29.757031575498697,29.305430919962667,29.490314483642578,4635350
2016-07-29,29.375140954185955,29.581239185983232,29.102362534575782,29.223596572875977,7110729
2016-08-01,29.162979531205117,29.405449441052998,28.847769931807186,28.975067138671875,4727165
2016-08-02,28.793210983276367,29.108420546934997,28.59923544407847,28.793210983276367,5181170
2016-08-03,28.793216477004492,29.99343978184505,28.7022909413104,29.87220573425293,7468795
2016-08-04,30.060114669691618,30.375324257088504,29.99343631790361,30.32682991027832,4831509
2016-08-05,30.466249301564556,30.902692889400917,30.466249301564556,30.66022300720215,4227491
2016-08-08,30.690532336786713,30.836013527944758,30.272270932876328,30.338951110839844,3356272
2016-08-09,29.538805613149783,30.629915536335233,29.351496435671713,30.58748435974121,1709296
2016-08-10,30.593545475173357,30.793582354104576,30.369261424033116,30.581422805786133,1875009
2016-08-11,30.751150965411004,31.951370397273617,30.732965128021206,31.854385375976562,3159954
2016-08-12,31.52098604971464,32.04835510066751,31.39975203801527,31.951366424560547,2042148
2016-08-15,32.09686037945314,32.593922930347276,32.04230468890537,32.527244567871094,2311887
2016-08-16,32.4787476661345,32.70303174670026,32.29083526537144,32.46056365966797,1589412
2016-08-17,32.53330764842755,32.56967933303313,32.333268883402056,32.375701904296875,1636668
2016-08-18,32.260527108294056,32.442378185897624,32.08473736659028,32.22415542602539,1387069
2016-08-19,32.09685579068363,32.09685579068363,31.345202569274267,31.472497940063477,1896734
2016-08-22,31.472491920905906,31.545231595035407,30.96330686826203,31.072418212890625,1715322
2016-08-23,31.133046402728752,31.581614610254206,30.999689674442266,31.46038055419922,3985979
2016-08-24,31.114393465556105,31.430030645759544,30.716206378587657,31.181161880493164,1098618
2016-08-25,31.06582942746935,31.496794813124026,30.94443165816931,31.33290672302246,2196126
2016-08-26,31.3450453770095,31.769941236113993,31.278276971904365,31.484655380249023,1486813
2016-08-29,31.430029426959777,32.043087853644906,31.29648893044192,31.81243133544922,1656807
2016-08-30,31.6788918621878,32.455842001584585,31.6788918621878,31.933826446533203,1509807
2016-08-31,31.84885709820251,32.061305083884186,31.563571166964103,31.97025489807129,2622221
2016-09-01,32.146285360731355,32.23733555585048,31.64855506476095,31.945980072021484,1521383
2016-09-02,32.18268197430067,32.455828682450225,32.05521473443763,32.40119934082031,1333311
2016-09-06,32.474054481050885,32.50440576332475,31.73959457443189,32.00667190551758,2051663
2016-09-07,31.82456090941467,32.243383447974104,31.575692256566438,32.134124755859375,2764306
2016-09-08,31.976304886591763,32.14626243694569,31.727439916074385,31.76386070251465,1740853
2016-09-09,31.423953167084388,31.56962900427595,30.683422088623047,30.683422088623047,3442220
2016-09-12,30.36171899478176,31.223647928303546,30.26460114673536,31.084041595458984,2953329
2016-09-13,30.871595126961168,31.199371321986273,30.33137099014328,30.37386131286621,2548483
2016-09-14,30.379929531271408,30.653074512831463,30.131062634899116,30.361719131469727,1827277
2016-09-15,30.33743735885354,30.713771500362682,30.046080176994575,30.647001266479492,2236087
2016-09-16,30.41634273743817,30.586300317046298,29.99751830856589,30.50739288330078,3729561
2016-09-19,30.598441628497024,31.202397445938427,30.580231231883367,30.823028564453125,1546597
2016-09-20,30.82303417657155,31.005130832221298,30.47704759337963,30.501327514648438,1697403
2016-09-21,30.634857974950982,30.9626322346884,30.483108966561275,30.94442367553711,1349169
2016-09-22,31.169014167575238,31.557489176774556,31.132593373274272,31.345041275024414,2615244
2016-09-23,31.138668338610863,31.30862962718744,30.744125575918897,30.88373374938965,1280030
2016-09-26,30.750193724563637,31.25399886677201,30.53167627394575,31.090110778808594,1690901
2016-09-27,31.0172699199788,31.430026746237534,30.986922313237276,31.32683753967285,1897209
2016-09-28,31.405754769133097,31.42396701067126,31.169028675542997,31.39361572265625,1436227
2016-09-29,31.0111972790161,31.326834388306498,30.731982801884165,30.774471282958984,2312204
2016-09-30,31.029422179036576,31.120468699088487,30.519547346636664,30.89588165283203,3096048
2016-10-03,30.719846280593693,31.35718643846613,30.719846280593693,31.19329833984375,2157750
2016-10-04,31.11439057216781,31.229718825013272,30.68949652591849,30.841243743896484,1923216
2016-10-05,30.96871074336386,31.135635435408147,30.713776153965593,30.920154571533203,1402609
2016-10-06,30.8533787243709,30.93835935834192,30.653071688650876,30.774471282958984,1211524
2016-10-07,30.653071657204205,30.84123965125572,30.27066798428035,30.307086944580078,1673934
2016-10-10,30.48918864727318,30.543818011464385,30.288881590542402,30.319231033325195,1619383
