Price,Open,High,Low,Close,Volume
Ticker,NRG,NRG,NRG,NRG,NRG
Date,,,,,
2010-02-23,16.85102784754681,17.135622355996695,16.626348047637915,16.671283721923828,5158300
2010-02-24,16.72372024022568,16.851039260667715,16.1545294093366,16.371721267700195,5536400
2010-02-25,16.042176933954693,16.573919739533004,15.997241264245908,16.52898406982422,5194900
2010-02-26,16.55894216420782,16.65630302016012,16.17698539981799,16.35672950744629,5076400
2010-03-01,16.394173140164003,16.970852956270015,16.386683624937813,16.910938262939453,4454300
2010-03-02,16.970856354245907,17.203025658827872,16.95587732079436,16.97834587097168,5342400
2010-03-03,17.03077450204437,17.210518654357294,16.83605131325215,16.851030349731445,4167100
2010-03-04,16.783618050079042,16.798597079361407,16.476555092184814,16.701234817504883,5632700
2010-03-05,16.73119667717253,17.24047236064272,16.73119667717253,17.09068489074707,4665700
2010-03-08,17.07570289669303,17.247958885743135,17.000810603212646,17.150596618652344,1857500
2010-03-09,17.098172293733843,17.210512168030636,17.01578905262599,17.038257598876953,2425900
2010-03-10,17.000818229194604,17.0981791114792,16.895966400027067,16.955881118774414,2847600
2010-03-11,16.895970729386338,17.180566787719727,16.866014076576473,17.180566787719727,2830900
2010-03-12,17.023278350706043,17.13561822356859,16.52898176732765,16.618854522705078,5232100
2010-03-15,16.59639631069772,16.738694333449406,16.491545887870096,16.67877960205078,2323500
2010-03-16,16.70873236013722,16.86600938621074,16.57392388878264,16.851030349731445,2155700
2010-03-17,16.851028427644383,16.95587881408077,16.761155647499354,16.82855987548828,2610400
2010-03-18,16.918425592817513,16.925915107076285,16.44659619386631,16.491533279418945,5028000
2010-03-19,16.521493911743164,16.73868559244479,16.326770779262816,16.521493911743164,5196100
2010-03-22,16.46157086597689,16.49901842736059,16.16948702957603,16.19195556640625,3602500
2010-03-23,16.18447492732251,16.266856750575958,16.109581191972765,16.162006378173828,5733800
2010-03-24,15.982260273747803,16.154514843596907,15.750091008799924,15.854941368103027,5763500
2010-03-25,15.675206854396926,15.765078237682824,15.18839948090532,15.218356132507324,5807500
2010-03-26,15.188387846744769,15.413067561336868,15.128473160954956,15.165919303894043,4812200
2010-03-29,15.233323145151514,15.450513340344196,15.203365088722865,15.428046226501465,4323100
2010-03-30,15.502946561320147,15.85494530384373,15.413073782122977,15.79503059387207,4447200
2010-03-31,15.742601793022278,15.817495520441145,15.615282884953913,15.652729034423828,3365700
2010-04-01,15.787537656993171,16.176983901694786,15.772558625624866,16.072132110595703,3671500
2010-04-05,16.139538026429538,16.334261169328876,16.072133806638256,16.214431762695312,4275700
2010-04-06,16.191964000737407,16.281835337915112,16.027197501779693,16.206941604614258,3130600
2010-04-07,16.102084274040017,16.19195700084428,16.019701060175983,16.064638137817383,4468000
2010-04-08,16.004729766530733,16.296813743849803,15.854942305686592,16.221920013427734,3457600
2010-04-09,16.109580530205534,16.356728846771627,15.94481546198785,16.326770782470703,3709900
2010-04-12,16.4391098063805,16.94838397228018,16.4391098063805,16.783618927001953,4397600
2010-04-13,16.84353974004427,16.93341252461682,16.491540976467302,16.88847541809082,3212500
2010-04-14,16.873496352729894,16.88098586983693,16.701240316226762,16.843538284301758,2744100
2010-04-15,16.851028850705696,17.045752022175822,16.671284714382363,17.000816345214844,2654300
2010-04-16,16.940899592914775,16.993324781135588,16.34924063218447,16.364219665527344,4905000
2010-04-19,16.349239327484096,16.55894149211196,16.281835111299394,16.521493911743164,3068800
2010-04-20,16.618856620954222,16.903451096703353,16.51400482169577,16.866004943847656,3791200
2010-04-21,16.843537249925703,16.888472921329043,16.618857464429762,16.731197357177734,3873500
2010-04-22,16.603874851658727,16.813576987131956,16.4241307763155,16.783618927001953,3013600
2010-04-23,16.83604812006985,17.098175494823387,16.64132496820949,17.053239822387695,2549700
2010-04-26,17.19553773464607,17.555027428380637,17.128134934830186,17.46515464782715,3625700
2010-04-27,17.32285102350579,17.921999365315546,17.262936332172707,17.65987205505371,5623700
2010-04-28,17.704812167332832,17.727280717910812,17.41272815221549,17.6448974609375,3160700
2010-04-29,17.72728115461743,17.929493829362865,17.6374083785708,17.817153930664062,2839600
2010-04-30,17.8695744444449,18.528636058531593,17.82463735394342,18.101743698120117,4368600
2010-05-03,18.229065730935815,18.865660337673514,18.03434259072904,18.85068130493164,4493800
2010-05-04,18.596048305582407,18.723367260090203,18.064305361066033,18.176645278930664,4764000
2010-05-05,17.92948590778808,18.101740438253,17.52506073697965,17.742252349853516,3849500
2010-05-06,17.66736920592873,17.66736920592873,16.326775443783173,17.045753479003906,7584900
2010-05-07,17.038264392731854,17.48762549757674,16.551457124349717,16.955881118774414,6342400
2010-05-10,17.69732148160692,17.90702365437989,16.364218995239217,16.52898406982422,9064300
2010-05-11,16.31928689449732,16.866008852371,16.281839304484365,16.45409393310547,3958600
2010-05-12,16.46906946989733,17.525066999741505,16.46906946989733,17.510087966918945,4579700
2010-05-13,17.450172022484406,18.01187285705123,17.33034262538848,17.5400447845459,3741800
2010-05-14,17.39025557439772,17.412724119772427,16.776129618945173,17.008298873901367,4148800
2010-05-17,17.030772987029025,17.225496158499155,16.63383712651537,17.000816345214844,3261600
2010-05-18,16.940899519728358,17.337833902245002,16.75366588918904,16.925920486450195,4485900
2010-05-19,16.768644541710742,16.985836252376757,16.499029068254146,16.843538284301758,4047300
2010-05-20,16.43162694271204,16.43162694271204,16.072137218028683,16.10958480834961,5259800
2010-05-21,15.914857397686928,16.431622579044802,15.727623781243553,16.326770782470703,5556900
2010-05-24,16.184476211313008,16.52149590440543,16.102092953044522,16.176986694335938,2288500
2010-05-25,15.712646224240904,16.26685760952674,15.345668472976472,16.2443904876709,4464600
2010-05-26,16.401663912603563,16.866003892867035,16.229409334634486,16.558940887451172,5666300
2010-05-27,16.89596778326372,17.247968034641517,16.813585931041427,17.240478515625,3385900
2010-05-28,17.25545200641704,17.69732205850264,17.247962489808238,17.487621307373047,2945600
2010-06-01,17.27042795715719,17.315365052506362,16.611366271972656,16.611366271972656,3578200
2010-06-02,16.64132514241349,17.098175673809774,16.588899952609843,17.08319664001465,2796300
2010-06-03,17.158088045622964,17.599959483093862,17.030769132648654,17.5400447845459,5539100
2010-06-04,17.225496395738148,17.292900626347652,16.821071012081124,16.858518600463867,5694000
2010-06-07,17.075705685406227,17.300386887977908,16.836046878779765,16.866004943847656,3004200
2010-06-08,16.925916462763084,16.978341638294722,16.499024115172436,16.873491287231445,3377500
2010-06-09,16.970855695301005,17.55502512091591,16.88847244299553,16.948387145996094,6032400
2010-06-10,17.450172022484406,17.689832245155355,17.262938410962132,17.5400447845459,3944500
2010-06-11,17.397757163151056,17.562523753285102,16.895970729386338,17.180566787719727,3091700
2010-06-14,17.35282018026637,17.607458138388658,17.14311791225983,17.165586471557617,2519800
2010-06-15,17.300385146089535,17.65987331983418,17.28540611506375,17.65238380432129,2760900
2010-06-16,17.465154022338265,17.764727565988796,17.352814122029233,17.480133056640625,3349800
2010-06-17,17.42770449979796,17.540044378414333,17.24796040831596,17.43519401550293,2168800
2010-06-18,17.40523195711268,17.794678113494722,17.40523195711268,17.704805374145508,3833100
2010-06-21,17.91451115398826,18.30395739023299,17.540043948786565,17.67485237121582,2503500
2010-06-22,17.53256058986027,17.577496270289604,16.678775519305283,16.77613639831543,4460300
2010-06-23,16.776132796232726,16.873495082817282,16.4840487934375,16.633834838867188,2362400
2010-06-24,16.55894455051989,16.91094330012534,16.266859083612133,16.311796188354492,1940200
2010-06-25,16.319283993977965,16.46158052529753,16.117071329286908,16.364219665527344,3231100
2010-06-28,16.319280603005975,16.558939372776447,16.199449789641797,16.469066619873047,2152000
2010-06-29,16.28932186220743,16.28932186220743,15.810004342685604,15.922344207763672,3362000
2010-06-30,15.839963471980784,16.31928249558833,15.772559256605959,15.884899139404297,4215400
2010-07-01,15.907372615677795,15.997245406847755,15.757586535033933,15.869926452636719,3249300
2010-07-02,15.94481465559996,16.10957971548487,15.727622985839844,15.727622985839844,2878100
2010-07-06,15.997244521417052,16.27434954093448,15.847457020584216,16.00473403930664,2929700
2010-07-07,16.04966524086513,16.60387655377374,16.019707177664035,16.558940887451172,3234600
2010-07-08,16.776134298464118,16.806092367320204,16.49153978672803,16.723709106445312,2763700
2010-07-09,16.746175916168685,16.948387145996094,16.618856993732585,16.948387145996094,1519500
2010-07-12,16.918431338272057,17.225494384765625,16.82106904832282,17.225494384765625,1780000
2010-07-13,17.37527778453029,17.47263862314215,16.903448336121855,17.150596618652344,2621500
2010-07-14,17.135621829818298,17.225494604109755,16.753666467397636,17.08319664001465,1273200
2010-07-15,17.0307714824305,17.18804848061827,16.843537845075087,17.12813377380371,1931900
2010-07-16,17.04574644964452,17.090682111915303,16.626343601999682,16.663789749145508,1577800
2010-07-19,16.701240300764272,16.925921528329305,16.484050018778667,16.821069717407227,1677900
2010-07-20,16.626349280064336,16.910943809609762,16.424136588069743,16.8809871673584,1904400
2010-07-21,16.87349515152225,16.97085601002402,16.394176090149603,16.50651741027832,2215600
2010-07-22,16.746179754189047,16.895965831780007,16.633838410396425,16.77613639831543,3248900
2010-07-23,16.81358012324723,17.195535461795618,16.618856981518704,17.143110275268555,3622900
2010-07-26,17.15809014021166,17.540046925762294,17.15809014021166,17.420217514038086,2278800
2010-07-27,17.525063226815217,17.599956946325143,17.36778770147537,17.555021286010742,2214700
2010-07-28,17.45017266640796,17.62991819716368,17.330343264890242,17.352811813354492,1281900
2010-07-29,17.42770558209708,17.43519509826716,16.63383400981823,16.79111099243164,2980900
2010-07-30,16.648813036559517,17.090684491091686,16.446600385472767,16.9858341217041,2927800
2010-08-02,17.83213096095057,17.83213096095057,17.188048229233928,17.225494384765625,4396000
2010-08-03,17.180557424569358,17.622428883420977,17.038259472952948,17.405237197875977,2993800
2010-08-04,17.465152989767123,17.532557211663352,17.045750053452235,17.3677921295166,2391300
2010-08-05,17.225498123441504,17.39775276184082,17.053243485042188,17.39775276184082,1538900
2010-08-06,17.292897963437838,17.42021688737463,16.895962158580968,17.21800422668457,2279900
2010-08-09,17.225494401232098,17.38276996879069,17.150600661617844,17.247962951660156,1704900
2010-08-10,17.068218393530966,17.510088446053985,16.888472851700193,17.292898178100586,2899600
2010-08-11,17.030770845333695,17.300387730152874,16.82106866508775,16.903451919555664,6830800
2010-08-12,16.6637895434398,17.015788179093757,16.61885388172373,16.783618927001953,2957600
2010-08-13,16.70124553704347,17.02328773091984,16.334267654957305,16.44660758972168,5426500
2010-08-16,16.29681753225787,16.641326772414335,16.094604841655027,16.41664695739746,3457700
2010-08-17,16.55145543189611,16.55145543189611,16.30430706377528,16.439115524291992,1955800
2010-08-18,16.379197231262058,16.4615790503078,16.184474100690007,16.31928253173828,3576400
2010-08-19,16.259366743392594,16.259366743392594,15.877411418748947,15.944815635681152,2128600
2010-08-20,15.832480467099519,15.899884710194318,15.420566917946594,15.52541732788086,3299100
2010-08-23,15.630263292258293,15.914857767331506,15.532901009498051,15.585326194763184,2735500
2010-08-24,15.360654155936524,15.443037447681832,15.173420440864376,15.218356132507324,3630900
2010-08-25,15.120988674485185,15.390604135948605,15.091030607389659,15.330689430236816,3375200
2010-08-26,15.45051630201246,15.495453395269303,15.098517642374684,15.17341136932373,2285700
2010-08-27,15.315704976165055,15.510426611291695,14.993663041297832,15.450511932373047,2527100
2010-08-30,15.435547927661359,15.660227814355983,15.218356132507326,15.218356132507324,2353400
2010-08-31,15.135972840762019,15.472994099283836,15.008655285853646,15.218356132507324,3616500
2010-09-01,15.435542467281092,15.802520247585166,15.330690652566087,15.757584571838379,3780700
2010-09-02,15.765076785332118,16.19197081629229,15.682694929656085,16.16950225830078,3140100
2010-09-03,16.349240202277873,16.36421923522687,15.937326795534904,16.214431762695312,2389000
2010-09-07,16.147027489999697,16.176985555799536,15.892389644617877,15.929837226867676,2143900
2010-09-08,15.959796931969105,16.14703059377041,15.937329806779813,16.00473403930664,1750700
2010-09-09,16.19196361669037,16.41664338278475,16.154516036688563,16.31928253173828,1852700
2010-09-10,16.379198056579522,16.484048428909567,16.22941058598301,16.35672950744629,1895800
